Date,Open,High,Low,Close,Adj Close,Volume
2023-03-24,29.639999,30.440001,29.010000,30.280001,30.280001,11911200
2023-03-27,31.030001,31.820000,30.639999,31.620001,31.620001,10306500
2023-03-28,31.639999,32.200001,31.139999,31.879999,31.879999,11262600
2023-03-29,32.250000,32.740002,31.209999,31.940001,31.940001,9287800
2023-03-30,32.480000,32.799999,32.020000,32.349998,32.349998,6989500
2023-03-31,32.419998,32.500000,31.160000,31.190001,31.190001,10983400
2023-04-03,32.599998,33.240002,32.150002,32.400002,32.400002,21657400
2023-04-04,34.299999,34.529999,32.860001,33.849998,33.849998,35100800
2023-04-05,33.500000,33.889999,32.470001,33.500000,33.500000,15729300
2023-04-06,33.840000,35.130001,33.669998,34.860001,34.860001,18911700
2023-04-10,34.910000,35.220001,34.599998,34.919998,34.919998,6769000
2023-04-11,35.200001,35.849998,34.840000,35.730000,35.730000,13617500
2023-04-12,36.000000,37.090000,35.919998,36.430000,36.430000,12343500
2023-04-13,36.500000,37.180000,36.400002,36.509998,36.509998,11819500
2023-04-14,36.419998,36.980000,36.110001,36.680000,36.680000,7327000
2023-04-17,36.639999,36.799999,35.930000,36.150002,36.150002,9819100
